# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 2536
#
# Samples: 142K of event 'cycles:ppp'
# Event count (approx.): 130516835553
#
# Overhead  Command      Shared Object           Symbol                                                                                         
# ........  ...........  ......................  ...............................................................................................................................................................
#
     2.92%  lto1-ltrans  lto1                    [.] bitmap_set_bit                                                                                                                                             
     2.19%  lto1-ltrans  libc-2.23.so            [.] _int_malloc                                                                                                                                                
     1.92%  lto1-ltrans  lto1                    [.] bitmap_clear_bit                                                                                                                                           
     1.40%  lto1-ltrans  lto1                    [.] ggc_internal_alloc                                                                                                                                         
     1.26%  lto1-ltrans  lto1                    [.] record_reg_classes                                                                                                                                         
     1.16%  lto1-ltrans  lto1                    [.] process_bb_lives                                                                                                                                           
     1.07%  lto1-ltrans  lto1                    [.] df_note_compute                                                                                                                                            
     0.91%  lto1-ltrans  lto1                    [.] bitmap_bit_p                                                                                                                                               
     0.91%  lto1-ltrans  lto1                    [.] df_ref_create_structure                                                                                                                                    
     0.88%  lto1-wpa     lto1                    [.] inflate_fast                                                                                                                                               
     0.87%  lto1-ltrans  libc-2.23.so            [.] _int_free                                                                                                                                                  
     0.77%  lto1-ltrans  lto1                    [.] df_worklist_dataflow                                                                                                                                       
     0.75%  lto1-ltrans  lto1                    [.] inverted_post_order_compute                                                                                                                                
     0.71%  lto1-ltrans  lto1                    [.] cselib_invalidate_regno                                                                                                                                    
     0.70%  lto1-ltrans  lto1                    [.] df_ref_record                                                                                                                                              
     0.68%  lto1-ltrans  lto1                    [.] pool_alloc                                                                                                                                                 
     0.61%  lto1-ltrans  lto1                    [.] reload_cse_simplify_operands                                                                                                                               
     0.59%  lto1-ltrans  lto1                    [.] bitmap_ior_into                                                                                                                                            
     0.58%  lto1-ltrans  lto1                    [.] cse_insn                                                                                                                                                   
     0.58%  lto1-ltrans  lto1                    [.] df_reorganize_refs_by_reg                                                                                                                                  
     0.52%  lto1-ltrans  lto1                    [.] constrain_operands                                                                                                                                         
     0.51%  lto1-ltrans  lto1                    [.] df_live_bb_local_compute                                                                                                                                   
     0.50%  lto1-ltrans  lto1                    [.] et_splay                                                                                                                                                   
     0.49%  lto1-ltrans  lto1                    [.] df_simulate_defs                                                                                                                                           
     0.48%  lto1-ltrans  lto1                    [.] sched_analyze_insn                                                                                                                                         
     0.46%  lto1-ltrans  libc-2.23.so            [.] malloc_consolidate                                                                                                                                         
     0.46%  lto1-ltrans  lto1                    [.] bitmap_copy                                                                                                                                                
     0.45%  lto1-ltrans  lto1                    [.] bitmap_elt_insert_after                                                                                                                                    
     0.44%  lto1-ltrans  lto1                    [.] cleanup_cfg                                                                                                                                                
     0.44%  lto1-ltrans  lto1                    [.] bitmap_clear_range                                                                                                                                         
     0.41%  lto1-ltrans  lto1                    [.] bitmap_ior_and_compl                                                                                                                                       
     0.41%  lto1-ltrans  lto1                    [.] general_operand                                                                                                                                            
     0.39%  lto1-ltrans  lto1                    [.] init_alias_analysis                                                                                                                                        
     0.39%  lto1-ltrans  libc-2.23.so            [.] malloc                                                                                                                                                     
     0.39%  lto1-ltrans  lto1                    [.] df_insn_refs_collect                                                                                                                                       
     0.38%  lto1-ltrans  lto1                    [.] pre_and_rev_post_order_compute_fn                                                                                                                          
     0.38%  lto1-ltrans  lto1                    [.] calc_idoms                                                                                                                                                 
     0.38%  lto1-ltrans  lto1                    [.] note_stores                                                                                                                                                
     0.38%  lto1-ltrans  lto1                    [.] fast_dce                                                                                                                                                   
     0.37%  lto1-ltrans  lto1                    [.] df_lr_bb_local_compute                                                                                                                                     
     0.37%  lto1-ltrans  lto1                    [.] volatile_refs_p                                                                                                                                            
     0.36%  lto1-ltrans  lto1                    [.] side_effects_p                                                                                                                                             
     0.35%  lto1-ltrans  lto1                    [.] regstat_compute_ri                                                                                                                                         
     0.34%  lto1-ltrans  lto1                    [.] make_hard_regno_born                                                                                                                                       
     0.34%  lto1-ltrans  lto1                    [.] bitmap_elt_clear_from                                                                                                                                      
     0.33%  lto1-ltrans  lto1                    [.] find_reg_note                                                                                                                                              
     0.33%  lto1-ltrans  lto1                    [.] hash_table<int_cst_hasher, xcallocator, true>::find_slot_with_hash                                                                                         
     0.32%  lto1-ltrans  lto1                    [.] flags_from_decl_or_type                                                                                                                                    
     0.32%  lto1-ltrans  lto1                    [.] df_simulate_find_noclobber_defs                                                                                                                            
     0.32%  lto1-ltrans  lto1                    [.] extract_insn                                                                                                                                               
     0.31%  lto1-ltrans  lto1                    [.] ggc_set_mark                                                                                                                                               
     0.31%  lto1-ltrans  lto1                    [.] post_order_compute                                                                                                                                         
     0.30%  lto1-ltrans  lto1                    [.] bitmap_and_into                                                                                                                                            
     0.29%  lto1-ltrans  lto1                    [.] gt_ggc_mx_lang_tree_node                                                                                                                                   
     0.29%  lto1-ltrans  lto1                    [.] process_bb_node_lives                                                                                                                                      
     0.28%  lto1-ltrans  lto1                    [.] ix86_decompose_address                                                                                                                                     
     0.27%  as           as                      [.] hash_lookup.isra.0                                                                                                                                         
     0.26%  lto1-ltrans  libc-2.23.so            [.] __memset_avx2                                                                                                                                              
     0.26%  lto1-ltrans  lto1                    [.] df_ref_equal_p                                                                                                                                             
     0.26%  lto1-ltrans  lto1                    [.] get_eh_region_and_lp_from_rtx                                                                                                                              
     0.25%  lto1-ltrans  lto1                    [.] cse_main                                                                                                                                                   
     0.25%  lto1-ltrans  libc-2.23.so            [.] __memcpy_avx_unaligned                                                                                                                                     
     0.25%  lto1-ltrans  lto1                    [.] restrict_cost_classes                                                                                                                                      
     0.24%  lto1-ltrans  lto1                    [.] calc_dfs_tree_nonrec                                                                                                                                       
     0.24%  lto1-ltrans  lto1                    [.] cselib_lookup                                                                                                                                              
     0.24%  lto1-ltrans  lto1                    [.] gimple_call_flags                                                                                                                                          
     0.23%  lto1-ltrans  lto1                    [.] count_reg_usage                                                                                                                                            
     0.23%  lto1-ltrans  lto1                    [.] cselib_process_insn                                                                                                                                        
     0.23%  lto1-ltrans  lto1                    [.] process_alt_operands                                                                                                                                       
     0.23%  lto1-ltrans  lto1                    [.] find_unreachable_blocks                                                                                                                                    
     0.23%  lto1-ltrans  libc-2.23.so            [.] free                                                                                                                                                       
     0.22%  lto1-ltrans  lto1                    [.] (anonymous namespace)::pass_rtl_cprop::execute                                                                                                             
     0.21%  ld           libbfd-2.25.1.so        [.] bfd_link_hash_traverse                                                                                                                                     
     0.21%  lto1-ltrans  lto1                    [.] hash_rtx_cb                                                                                                                                                
     0.21%  lto1-ltrans  lto1                    [.] df_uses_record                                                                                                                                             
     0.21%  lto1-ltrans  lto1                    [.] get_ref_base_and_extent                                                                                                                                    
     0.20%  lto1-ltrans  lto1                    [.] bitmap_and                                                                                                                                                 
     0.20%  as           as                      [.] resolve_symbol_value                                                                                                                                       
     0.20%  lto1-ltrans  lto1                    [.] deletable_insn_p                                                                                                                                           
     0.19%  lto1-ltrans  lto1                    [.] rewrite_update_dom_walker::before_dom_children                                                                                                             
     0.19%  lto1-ltrans  lto1                    [.] find_used_regs                                                                                                                                             
     0.19%  lto1-ltrans  lto1                    [.] reg_scan_mark_refs                                                                                                                                         
     0.19%  lto1-ltrans  lto1                    [.] operand_equal_p                                                                                                                                            
     0.19%  lto1-ltrans  lto1                    [.] lra_inheritance                                                                                                                                            
     0.19%  as           as                      [.] do_scrub_chars                                                                                                                                             
     0.19%  lto1-ltrans  lto1                    [.] rtx_cost                                                                                                                                                   
     0.19%  lto1-ltrans  lto1                    [.] rtx_equal_p                                                                                                                                                
     0.18%  lto1-wpa     lto1                    [.] estimate_calls_size_and_time                                                                                                                               
     0.18%  ld           libbfd-2.25.1.so        [.] bfd_elf_link_add_symbols                                                                                                                                   
     0.18%  lto1-ltrans  lto1                    [.] make_set_regs_unavailable                                                                                                                                  
     0.18%  lto1-ltrans  lto1                    [.] (anonymous namespace)::pass_combine::execute                                                                                                               
     0.18%  lto1-ltrans  lto1                    [.] noop_move_p                                                                                                                                                
     0.18%  lto1-ltrans  lto1                    [.] fold_binary_loc                                                                                                                                            
     0.18%  lto1-ltrans  lto1                    [.] special_function_p                                                                                                                                         
     0.17%  lto1-ltrans  lto1                    [.] walk_tree_1                                                                                                                                                
     0.17%  lto1-ltrans  lto1                    [.] cselib_record_sets                                                                                                                                         
     0.17%  lto1-ltrans  lto1                    [.] lra_remat                                                                                                                                                  
     0.17%  lto1-ltrans  lto1                    [.] for_each_inc_dec                                                                                                                                           
     0.17%  lto1-ltrans  lto1                    [.] mark_jump_label_1                                                                                                                                          
     0.16%  lto1-ltrans  lto1                    [.] pool_free                                                                                                                                                  
     0.16%  lto1-ltrans  lto1                    [.] df_install_ref                                                                                                                                             
     0.16%  lto1-ltrans  lto1                    [.] df_sort_and_compress_refs                                                                                                                                  
     0.16%  lto1-ltrans  lto1                    [.] nonzero_bits1                                                                                                                                              
     0.16%  lto1-ltrans  lto1                    [.] set_noop_p                                                                                                                                                 
     0.15%  lto1-ltrans  lto1                    [.] delete_unmarked_insns                                                                                                                                      
     0.15%  lto1-ltrans  libc-2.23.so            [.] __libc_calloc                                                                                                                                              
     0.15%  lto1-ltrans  lto1                    [.] insn_nothrow_p                                                                                                                                             
     0.15%  lto1-ltrans  lto1                    [.] solve_constraints                                                                                                                                          
     0.15%  lto1-ltrans  lto1                    [.] optimize_function_for_size_p                                                                                                                               
     0.15%  ld           libc-2.23.so            [.] __memcpy_avx_unaligned                                                                                                                                     
     0.15%  lto1-ltrans  lto1                    [.] df_install_refs                                                                                                                                            
     0.15%  lto1-ltrans  libc-2.23.so            [.] vfprintf                                                                                                                                                   
     0.14%  lto1-ltrans  lto1                    [.] substitute_and_fold_dom_walker::before_dom_children                                                                                                        
     0.14%  lto1-ltrans  lto1                    [.] copy_rtx_if_shared_1                                                                                                                                       
     0.14%  lto1-ltrans  lto1                    [.] record_set                                                                                                                                                 
     0.14%  lto1-wpa     libc-2.23.so            [.] msort_with_tmp.part.0                                                                                                                                      
     0.14%  lto1-ltrans  lto1                    [.] walk_stmt_load_store_addr_ops                                                                                                                              
     0.14%  lto1-wpa     libc-2.23.so            [.] _int_malloc                                                                                                                                                
