# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 13038
#
# Samples: 1M of event 'cycles:ppp'
# Event count (approx.): 1673722509155
#
# Overhead  Command      Shared Object           Symbol                                                                                         
# ........  ...........  ......................  ...............................................................................................................................................................
#
    80.99%  lto1-ltrans  lto1                    [.] bitmap_ior_into                                                                                                                                            
     3.62%  lto1-ltrans  lto1                    [.] bitmap_set_bit                                                                                                                                             
     2.11%  lto1-ltrans  lto1                    [.] find_what_var_points_to                                                                                                                                    
     1.79%  lto1-ltrans  lto1                    [.] do_complex_constraint                                                                                                                                      
     0.53%  lto1-ltrans  lto1                    [.] find                                                                                                                                                       
     0.40%  lto1-ltrans  lto1                    [.] bitmap_copy                                                                                                                                                
     0.38%  lto1-ltrans  lto1                    [.] bitmap_bit_p                                                                                                                                               
     0.36%  lto1-ltrans  lto1                    [.] bitmap_elt_insert_after                                                                                                                                    
     0.35%  lto1-ltrans  lto1                    [.] add_graph_edge                                                                                                                                             
     0.34%  lto1-ltrans  lto1                    [.] solve_constraints                                                                                                                                          
     0.21%  lto1-ltrans  libc-2.23.so            [.] _int_malloc                                                                                                                                                
     0.18%  lto1-ltrans  lto1                    [.] bitmap_clear_bit                                                                                                                                           
     0.13%  lto1-ltrans  lto1                    [.] topo_visit                                                                                                                                                 
     0.11%  lto1-ltrans  lto1                    [.] solution_set_expand                                                                                                                                        
     0.10%  lto1-ltrans  lto1                    [.] record_reg_classes                                                                                                                                         
     0.09%  lto1-ltrans  lto1                    [.] ggc_internal_alloc                                                                                                                                         
     0.09%  lto1-ltrans  lto1                    [.] process_bb_lives                                                                                                                                           
     0.09%  lto1-ltrans  [unknown]               [k] 0x000000000061c7aa                                                                                                                                         
     0.09%  lto1-ltrans  lto1                    [.] df_note_compute                                                                                                                                            
     0.07%  lto1-ltrans  libc-2.23.so            [.] _int_free                                                                                                                                                  
     0.07%  lto1-wpa     lto1                    [.] inflate_fast                                                                                                                                               
     0.07%  lto1-ltrans  lto1                    [.] bitmap_equal_p                                                                                                                                             
     0.07%  lto1-ltrans  lto1                    [.] df_ref_create_structure                                                                                                                                    
     0.07%  lto1-ltrans  [unknown]               [k] 0x00007f3771a4e024                                                                                                                                         
     0.06%  lto1-ltrans  [kernel.vmlinux]        [k] clear_page_c_e                                                                                                                                             
     0.06%  lto1-ltrans  [unknown]               [k] 0x000000000061c710                                                                                                                                         
     0.06%  lto1-ltrans  lto1                    [.] df_worklist_dataflow                                                                                                                                       
     0.06%  lto1-ltrans  lto1                    [.] inverted_post_order_compute                                                                                                                                
     0.05%  lto1-ltrans  lto1                    [.] pool_alloc                                                                                                                                                 
     0.05%  lto1-ltrans  lto1                    [.] cselib_invalidate_regno                                                                                                                                    
     0.05%  lto1-ltrans  lto1                    [.] df_ref_record                                                                                                                                              
     0.05%  lto1-ltrans  lto1                    [.] reload_cse_simplify_operands                                                                                                                               
     0.05%  lto1-ltrans  lto1                    [.] df_reorganize_refs_by_reg                                                                                                                                  
     0.04%  lto1-ltrans  [kernel.vmlinux]        [.] native_irq_return_iret                                                                                                                                     
     0.04%  lto1-ltrans  lto1                    [.] cse_insn                                                                                                                                                   
     0.04%  lto1-ltrans  lto1                    [.] constrain_operands                                                                                                                                         
     0.04%  lto1-ltrans  [unknown]               [k] 0x000000000061c74a                                                                                                                                         
     0.04%  lto1-ltrans  [unknown]               [k] 0x000000000061c780                                                                                                                                         
     0.04%  lto1-ltrans  lto1                    [.] df_simulate_defs                                                                                                                                           
     0.04%  lto1-ltrans  lto1                    [.] df_live_bb_local_compute                                                                                                                                   
     0.04%  lto1-ltrans  lto1                    [.] et_splay                                                                                                                                                   
     0.04%  lto1-ltrans  [unknown]               [k] 0x000000000061c754                                                                                                                                         
     0.04%  lto1-ltrans  lto1                    [.] sched_analyze_insn                                                                                                                                         
     0.04%  lto1-ltrans  lto1                    [.] cleanup_cfg                                                                                                                                                
     0.04%  lto1-ltrans  libc-2.23.so            [.] malloc_consolidate                                                                                                                                         
     0.04%  lto1-ltrans  [unknown]               [k] 0x000000000061c70b                                                                                                                                         
     0.04%  lto1-ltrans  libc-2.23.so            [.] malloc                                                                                                                                                     
     0.03%  lto1-ltrans  [unknown]               [k] 0x000000000061c757                                                                                                                                         
     0.03%  lto1-ltrans  lto1                    [.] bitmap_clear_range                                                                                                                                         
     0.03%  lto1-ltrans  lto1                    [.] ggc_set_mark                                                                                                                                               
     0.03%  lto1-ltrans  lto1                    [.] bitmap_ior_and_compl                                                                                                                                       
     0.03%  lto1-ltrans  lto1                    [.] df_insn_refs_collect                                                                                                                                       
     0.03%  lto1-ltrans  lto1                    [.] init_alias_analysis                                                                                                                                        
     0.03%  lto1-ltrans  lto1                    [.] calc_idoms                                                                                                                                                 
     0.03%  lto1-ltrans  lto1                    [.] df_lr_bb_local_compute                                                                                                                                     
     0.03%  lto1-ltrans  lto1                    [.] note_stores                                                                                                                                                
     0.03%  lto1-ltrans  lto1                    [.] volatile_refs_p                                                                                                                                            
     0.03%  lto1-ltrans  lto1                    [.] pre_and_rev_post_order_compute_fn                                                                                                                          
     0.03%  lto1-ltrans  lto1                    [.] bitmap_elt_clear_from                                                                                                                                      
     0.03%  lto1-ltrans  lto1                    [.] general_operand                                                                                                                                            
     0.03%  lto1-ltrans  [unknown]               [k] 0x000000000061c7a2                                                                                                                                         
     0.03%  lto1-ltrans  lto1                    [.] regstat_compute_ri                                                                                                                                         
     0.03%  lto1-ltrans  lto1                    [.] gt_ggc_mx_lang_tree_node                                                                                                                                   
     0.03%  lto1-ltrans  lto1                    [.] find_reg_note                                                                                                                                              
     0.03%  lto1-ltrans  lto1                    [.] fast_dce                                                                                                                                                   
     0.03%  lto1-ltrans  lto1                    [.] side_effects_p                                                                                                                                             
     0.03%  lto1-ltrans  lto1                    [.] bitmap_and_into                                                                                                                                            
     0.03%  lto1-ltrans  lto1                    [.] df_simulate_find_noclobber_defs                                                                                                                            
     0.03%  lto1-ltrans  lto1                    [.] make_hard_regno_born                                                                                                                                       
     0.02%  lto1-ltrans  lto1                    [.] flags_from_decl_or_type                                                                                                                                    
     0.02%  lto1-ltrans  lto1                    [.] hash_table<int_cst_hasher, xcallocator, true>::find_slot_with_hash                                                                                         
     0.02%  lto1-ltrans  lto1                    [.] extract_insn                                                                                                                                               
     0.02%  lto1-ltrans  [unknown]               [k] 0x000000000061c79e                                                                                                                                         
     0.02%  lto1-ltrans  lto1                    [.] df_ref_equal_p                                                                                                                                             
     0.02%  lto1-ltrans  lto1                    [.] post_order_compute                                                                                                                                         
     0.02%  lto1-ltrans  lto1                    [.] ix86_decompose_address                                                                                                                                     
     0.02%  lto1-ltrans  lto1                    [.] process_bb_node_lives                                                                                                                                      
     0.02%  lto1-ltrans  [kernel.vmlinux]        [k] handle_mm_fault                                                                                                                                            
     0.02%  lto1-ltrans  libc-2.23.so            [.] __memset_avx2                                                                                                                                              
     0.02%  lto1-ltrans  [unknown]               [k] 0x000000000061c712                                                                                                                                         
     0.02%  as           as                      [.] hash_lookup.isra.0                                                                                                                                         
     0.02%  lto1-ltrans  [unknown]               [k] 0x000000000061c790                                                                                                                                         
     0.02%  lto1-ltrans  lto1                    [.] bitmap_ior                                                                                                                                                 
     0.02%  lto1-ltrans  lto1                    [.] restrict_cost_classes                                                                                                                                      
     0.02%  lto1-ltrans  lto1                    [.] bitmap_and_compl                                                                                                                                           
     0.02%  lto1-ltrans  [unknown]               [k] 0x000000000061c75a                                                                                                                                         
     0.02%  lto1-ltrans  lto1                    [.] count_reg_usage                                                                                                                                            
     0.02%  lto1-ltrans  lto1                    [.] cselib_lookup                                                                                                                                              
     0.02%  lto1-ltrans  lto1                    [.] cse_main                                                                                                                                                   
     0.02%  lto1-ltrans  lto1                    [.] get_eh_region_and_lp_from_rtx                                                                                                                              
     0.02%  lto1-ltrans  lto1                    [.] calc_dfs_tree_nonrec                                                                                                                                       
     0.02%  lto1-ltrans  libc-2.23.so            [.] __memcpy_avx_unaligned                                                                                                                                     
     0.02%  lto1-ltrans  [kernel.vmlinux]        [k] get_page_from_freelist                                                                                                                                     
     0.02%  lto1-ltrans  libc-2.23.so            [.] free                                                                                                                                                       
     0.02%  lto1-ltrans  lto1                    [.] gimple_call_flags                                                                                                                                          
     0.02%  lto1-ltrans  lto1                    [.] find_unreachable_blocks                                                                                                                                    
     0.02%  lto1-ltrans  [kernel.vmlinux]        [k] _raw_spin_lock                                                                                                                                             
     0.02%  lto1-ltrans  [unknown]               [k] 0x000000000061c788                                                                                                                                         
     0.02%  lto1-ltrans  lto1                    [.] (anonymous namespace)::pass_rtl_cprop::execute                                                                                                             
     0.02%  as           as                      [.] resolve_symbol_value                                                                                                                                       
     0.02%  lto1-ltrans  lto1                    [.] df_uses_record                                                                                                                                             
     0.02%  lto1-ltrans  lto1                    [.] cselib_process_insn                                                                                                                                        
     0.02%  lto1-ltrans  lto1                    [.] process_alt_operands                                                                                                                                       
     0.02%  ld           libbfd-2.25.1.so        [.] bfd_link_hash_traverse                                                                                                                                     
     0.02%  lto1-ltrans  lto1                    [.] find_used_regs                                                                                                                                             
     0.02%  lto1-ltrans  lto1                    [.] reg_scan_mark_refs                                                                                                                                         
     0.02%  lto1-wpa     lto1                    [.] estimate_calls_size_and_time                                                                                                                               
     0.02%  lto1-ltrans  lto1                    [.] hash_rtx_cb                                                                                                                                                
     0.02%  lto1-ltrans  libc-2.23.so            [.] obstack_free                                                                                                                                               
     0.02%  lto1-ltrans  lto1                    [.] get_ref_base_and_extent                                                                                                                                    
     0.02%  lto1-ltrans  lto1                    [.] deletable_insn_p                                                                                                                                           
     0.02%  lto1-ltrans  lto1                    [.] bitmap_and                                                                                                                                                 
     0.02%  lto1-ltrans  lto1                    [.] rewrite_update_dom_walker::before_dom_children                                                                                                             
     0.02%  lto1-ltrans  lto1                    [.] lra_inheritance                                                                                                                                            
     0.02%  lto1-ltrans  lto1                    [.] operand_equal_p                                                                                                                                            
